"sppKey","english","order","family","genus","species","genSp","mass"
"10010","Great Tinamou","Tinamiformes","Tinamidae","Tinamus","major","Tinamus major",1025
"10030","Little Tinamou","Tinamiformes","Tinamidae","Crypturellus","soui","Crypturellus soui",216.5
"40080","Thicket Tinamou","Tinamiformes","Tinamidae","Crypturellus","cinnamomeus","Crypturellus cinnamomeus",419
"10050","Slaty-breasted Tinamou","Tinamiformes","Tinamidae","Crypturellus","boucardi","Crypturellus boucardi",443
"01770","Black-bellied Whistling-Duck","Anseriformes","Anatidae","Dendrocygna","autumnalis","Dendrocygna autumnalis",831
"10200","West Indian Whistling-Duck","Anseriformes","Anatidae","Dendrocygna","arborea","Dendrocygna arborea",1150
"01780","Fulvous Whistling-Duck","Anseriformes","Anatidae","Dendrocygna","bicolor","Dendrocygna bicolor",682.5
"20590","Swan Goose","Anseriformes","Anatidae","Anser","cygnoides","Anser cygnoides",3325
"01711","Taiga Bean-Goose","Anseriformes","Anatidae","Anser","fabalis","Anser fabalis",3020.5
"01714","Tundra Bean-Goose","Anseriformes","Anatidae","Anser","serrirostris","Anser serrirostris",2822.16666666667
"01712","Pink-footed Goose","Anseriformes","Anatidae","Anser","brachyrhynchus","Anser brachyrhynchus",2645
"01710","Greater White-fronted Goose","Anseriformes","Anatidae","Anser","albifrons","Anser albifrons",2680.5
"01713","Lesser White-fronted Goose","Anseriformes","Anatidae","Anser","erythropus","Anser erythropus",1797.5
"20600","Graylag Goose","Anseriformes","Anatidae","Anser","anser","Anser anser",3464.5
"01760","Emperor Goose","Anseriformes","Anatidae","Chen","canagica","Chen canagica",2789
"01690","Snow Goose","Anseriformes","Anatidae","Chen","caerulescens","Chen caerulescens",2630.5
"01691","Blue Goose) Snow Goose","Anseriformes","Anatidae","Chen","caerulescens (blue form","Chen caerulescens",2630.5
"01700","Ross's Goose","Anseriformes","Anatidae","Chen","rossii","Chen rossii",1589.5
"01730","Brant","Anseriformes","Anatidae","Branta","bernicla","Branta bernicla",1300
"01740","Black Brant) Brant","Anseriformes","Anatidae","Branta","bernicla nigricans","Branta bernicla",1300
"01750","Barnacle Goose","Anseriformes","Anatidae","Branta","leucopsis","Branta leucopsis",1687
"01725","Cackling Goose","Anseriformes","Anatidae","Branta","hutchinsii","Branta hutchinsii",1962.75
"01720","Canada Goose","Anseriformes","Anatidae","Branta","canadensis","Branta canadensis",3564
"01782","Mute Swan","Anseriformes","Anatidae","Cygnus","olor","Cygnus olor",10735
"80380","Black Swan","Anseriformes","Anatidae","Cygnus","atratus","Cygnus atratus",5650
"01810","Trumpeter Swan","Anseriformes","Anatidae","Cygnus","buccinator","Cygnus buccinator",10850
"01800","Tundra Swan","Anseriformes","Anatidae","Cygnus","columbianus","Cygnus columbianus",6781.5
"01790","Whooper Swan","Anseriformes","Anatidae","Cygnus","cygnus","Cygnus cygnus",11375
"20630","Egyptian Goose","Anseriformes","Anatidae","Alopochen","aegyptiaca","Alopochen aegyptiaca",1862.5
"10210","Muscovy Duck","Anseriformes","Anatidae","Cairina","moschata","Cairina moschata",2125
"01440","Wood Duck","Anseriformes","Anatidae","Aix","sponsa","Aix sponsa",675.5
"20670","Mandarin Duck","Anseriformes","Anatidae","Aix","galericulata","Aix galericulata",570
"01350","Gadwall","Anseriformes","Anatidae","Anas","strepera","Anas strepera",919.5
"01371","Falcated Duck","Anseriformes","Anatidae","Anas","falcata","Anas falcata",649
"01360","Eurasian Wigeon","Anseriformes","Anatidae","Anas","penelope","Anas penelope",771.5
"01370","American Wigeon","Anseriformes","Anatidae","Anas","americana","Anas americana",793.5
"01330","American Black Duck","Anseriformes","Anatidae","Anas","rubripes","Anas rubripes",1181.5
"01320","Mallard","Anseriformes","Anatidae","Anas","platyrhynchos","Anas platyrhynchos",1161.5
"01331","Mexican Duck) Mallard","Anseriformes","Anatidae","Anas","platyrhynchos diazi","Anas platyrhynchos",1161.5
"01340","Mottled Duck","Anseriformes","Anatidae","Anas","fulvigula","Anas fulvigula",999
"01326","hybrid Mallard x Black Duck or Mottled Duck","Anseriformes","Anatidae","Anas","platyrhynchos x rubripes or fulvigula","Anas platyrhynchos",1161.5
"01341","Eastern Spot-billed Duck","Anseriformes","Anatidae","Anas","zonorhyncha","Anas zonorhyncha",1195
"01400","Blue-winged Teal","Anseriformes","Anatidae","Anas","discors","Anas discors",464.5
"01410","Cinnamon Teal","Anseriformes","Anatidae","Anas","cyanoptera","Anas cyanoptera",385.5
"01420","Northern Shoveler","Anseriformes","Anatidae","Anas","clypeata","Anas clypeata",613
"01431","White-cheeked Pintail","Anseriformes","Anatidae","Anas","bahamensis","Anas bahamensis",536
"01430","Northern Pintail","Anseriformes","Anatidae","Anas","acuta","Anas acuta",945.5
"01392","Garganey","Anseriformes","Anatidae","Anas","querquedula","Anas querquedula",326
"01391","Baikal Teal","Anseriformes","Anatidae","Anas","formosa","Anas formosa",434
"01390","Green-winged Teal","Anseriformes","Anatidae","Anas","crecca","Anas crecca",315
"01470","Canvasback","Anseriformes","Anatidae","Aythya","valisineria","Aythya valisineria",1204
"01460","Redhead","Anseriformes","Anatidae","Aythya","americana","Aythya americana",1045
"01461","Common Pochard","Anseriformes","Anatidae","Aythya","ferina","Aythya ferina",828
"01500","Ring-necked Duck","Anseriformes","Anatidae","Aythya","collaris","Aythya collaris",707.5
"01491","Tufted Duck","Anseriformes","Anatidae","Aythya","fuligula","Aythya fuligula",701.5
"01480","Greater Scaup","Anseriformes","Anatidae","Aythya","marila","Aythya marila",1013.5
"01490","Lesser Scaup","Anseriformes","Anatidae","Aythya","affinis","Aythya affinis",786.5
"01489","unid. Greater Scaup / Lesser Scaup","Anseriformes","Anatidae","Aythya","marila / affinis","Aythya marila",1013.5
"01570","Steller's Eider","Anseriformes","Anatidae","Polysticta","stelleri","Polysticta stelleri",807.5
"01580","Spectacled Eider","Anseriformes","Anatidae","Somateria","fischeri","Somateria fischeri",1368
"01620","King Eider","Anseriformes","Anatidae","Somateria","spectabilis","Somateria spectabilis",1617.5
"01590","Common Eider","Anseriformes","Anatidae","Somateria","mollissima","Somateria mollissima",2066.5
"01550","Harlequin Duck","Anseriformes","Anatidae","Histrionicus","histrionicus","Histrionicus histrionicus",603
"01660","Surf Scoter","Anseriformes","Anatidae","Melanitta","perspicillata","Melanitta perspicillata",950
"01650","White-winged Scoter","Anseriformes","Anatidae","Melanitta","fusca","Melanitta fusca",1762
"01630","Black Scoter","Anseriformes","Anatidae","Melanitta","americana","Melanitta americana",950
"01657","unid. Scoter","Anseriformes","Anatidae","Melanitta","perspicillata / fusca / americana","Melanitta perspicillata",950
"01540","Long-tailed Duck","Anseriformes","Anatidae","Clangula","hyemalis","Clangula hyemalis",648.5
"01530","Bufflehead","Anseriformes","Anatidae","Bucephala","albeola","Bucephala albeola",424
"01510","Common Goldeneye","Anseriformes","Anatidae","Bucephala","clangula","Bucephala clangula",900
"01520","Barrow's Goldeneye","Anseriformes","Anatidae","Bucephala","islandica","Bucephala islandica",910
"01512","unid. Common Goldeneye / Barrow's Goldeneye","Anseriformes","Anatidae","Bucephala","clangula / islandica","Bucephala clangula",900
"01311","Smew","Anseriformes","Anatidae","Mergellus","albellus","Mergellus albellus",610
"01310","Hooded Merganser","Anseriformes","Anatidae","Lophodytes","cucullatus","Lophodytes cucullatus",610
"01290","Common Merganser","Anseriformes","Anatidae","Mergus","merganser","Mergus merganser",1470.5
"01300","Red-breasted Merganser","Anseriformes","Anatidae","Mergus","serrator","Mergus serrator",1021.5
"01680","Masked Duck","Anseriformes","Anatidae","Nomonyx","dominicus","Nomonyx dominicus",372.5
"01670","Ruddy Duck","Anseriformes","Anatidae","Oxyura","jamaicensis","Oxyura jamaicensis",544.5
"03110","Plain Chachalaca","Galliformes","Cracidae","Ortalis","vetula","Ortalis vetula",563
"10572","Rufous-bellied Chachalaca","Galliformes","Cracidae","Ortalis","wagleri","Ortalis wagleri",587.333333333333
"10570","West Mexican Chachalaca","Galliformes","Cracidae","Ortalis","poliocephala","Ortalis poliocephala",760
"10571","White-bellied Chachalaca","Galliformes","Cracidae","Ortalis","leucogastra","Ortalis leucogastra",439
"10600","Crested Guan","Galliformes","Cracidae","Penelope","purpurascens","Penelope purpurascens",2060
"10590","Highland Guan","Galliformes","Cracidae","Penelopina","nigra","Penelopina nigra",890
"10610","Horned Guan","Galliformes","Cracidae","Oreophasis","derbianus","Oreophasis derbianus",NA
"10620","Great Curassow","Galliformes","Cracidae","Crax","rubra","Crax rubra",3942.5
"02961","Helmeted Guineafowl","Galliformes","Numididae","Numida","meleagris","Numida meleagris",1587.5
"10650","Bearded Wood-Partridge","Galliformes","Odontophoridae","Dendrortyx","barbatus","Dendrortyx barbatus",432
"10640","Long-tailed Wood-Partridge","Galliformes","Odontophoridae","Dendrortyx","macroura","Dendrortyx macroura",431
"10660","Buffy-crowned Wood-Partridge","Galliformes","Odontophoridae","Dendrortyx","leucophrys","Dendrortyx leucophrys",350
"02920","Mountain Quail","Galliformes","Odontophoridae","Oreortyx","pictus","Oreortyx pictus",239.2
"02930","Scaled Quail","Galliformes","Odontophoridae","Callipepla","squamata","Callipepla squamata",184
"10780","Elegant Quail","Galliformes","Odontophoridae","Callipepla","douglasii","Callipepla douglasii",175
"02940","California Quail","Galliformes","Odontophoridae","Callipepla","californica","Callipepla californica",174.2
"02950","Gambel's Quail","Galliformes","Odontophoridae","Callipepla","gambelii","Callipepla gambelii",169.25
"10770","Banded Quail","Galliformes","Odontophoridae","Philortyx","fasciatus","Philortyx fasciatus",130
"02890","Northern Bobwhite","Galliformes","Odontophoridae","Colinus","virginianus","Colinus virginianus",171.5
"10760","Black-throated Bobwhite","Galliformes","Odontophoridae","Colinus","nigrogularis","Colinus nigrogularis",127
"10710","Spotted Wood-Quail","Galliformes","Odontophoridae","Odontophorus","guttatus","Odontophorus guttatus",314
"10720","Singing Quail","Galliformes","Odontophoridae","Dactylortyx","thoracicus","Dactylortyx thoracicus",223
"02960","Montezuma Quail","Galliformes","Odontophoridae","Cyrtonyx","montezumae","Cyrtonyx montezumae",185.55
"10730","Ocellated Quail","Galliformes","Odontophoridae","Cyrtonyx","ocellatus","Cyrtonyx ocellatus",218
"02882","Chukar","Galliformes","Phasianidae","Alectoris","chukar","Alectoris chukar",518.5
"02883","Black Francolin","Galliformes","Phasianidae","Francolinus","francolinus","Francolinus francolinus",456.25
"21430","Himalayan Snowcock","Galliformes","Phasianidae","Tetraogallus","himalayensis","Tetraogallus himalayensis",2428
"02881","Gray Partridge","Galliformes","Phasianidae","Perdix","perdix","Perdix perdix",382
"03094","Red Junglefowl","Galliformes","Phasianidae","Gallus","gallus","Gallus gallus",672
"03091","Ring-necked Pheasant","Galliformes","Phasianidae","Phasianus","colchicus","Phasianus colchicus",1087.5
"03095","Common Peafowl","Galliformes","Phasianidae","Pavo","cristatus","Pavo cristatus",5000
"03000","Ruffed Grouse","Galliformes","Phasianidae","Bonasa","umbellus","Bonasa umbellus",528.5
"03090","Greater Sage-Grouse","Galliformes","Phasianidae","Centrocercus","urophasianus","Centrocercus urophasianus",2450
"03089","Gunnison Sage-Grouse","Galliformes","Phasianidae","Centrocercus","minimus","Centrocercus minimus",2450
"02980","Spruce Grouse","Galliformes","Phasianidae","Falcipennis","canadensis","Falcipennis canadensis",458
"03010","Willow Ptarmigan","Galliformes","Phasianidae","Lagopus","lagopus","Lagopus lagopus",595
"03020","Rock Ptarmigan","Galliformes","Phasianidae","Lagopus","muta","Lagopus muta",426.5
"03040","White-tailed Ptarmigan","Galliformes","Phasianidae","Lagopus","leucura","Lagopus leucura",355
"02970","Dusky Grouse","Galliformes","Phasianidae","Dendragapus","obscurus","Dendragapus obscurus",1056
"02971","Sooty Grouse","Galliformes","Phasianidae","Dendragapus","fuliginosus","Dendragapus fuliginosus",1056
"02973","unid. Dusky Grouse / Sooty Grouse","Galliformes","Phasianidae","Dendragapus","obscurus / fuliginosus","Dendragapus obscurus",1056
"03080","Sharp-tailed Grouse","Galliformes","Phasianidae","Tympanuchus","phasianellus","Tympanuchus phasianellus",885
"03050","Greater Prairie-Chicken","Galliformes","Phasianidae","Tympanuchus","cupido","Tympanuchus cupido",864
"03070","Lesser Prairie-Chicken","Galliformes","Phasianidae","Tympanuchus","pallidicinctus","Tympanuchus pallidicinctus",685.5
"03100","Wild Turkey","Galliformes","Phasianidae","Meleagris","gallopavo","Meleagris gallopavo",5811
"10630","Ocellated Turkey","Galliformes","Phasianidae","Meleagris","ocellata","Meleagris ocellata",5525
"00110","Red-throated Loon","Gaviiformes","Gaviidae","Gavia","stellata","Gavia stellata",1603
"00090","Arctic Loon","Gaviiformes","Gaviidae","Gavia","arctica","Gavia arctica",2804.5
"00100","Pacific Loon","Gaviiformes","Gaviidae","Gavia","pacifica","Gavia pacifica",2232
"00101","unid. Arctic Loon / Pacific Loon","Gaviiformes","Gaviidae","Gavia","arctica / pacifica","Gavia arctica",2804.5
"00070","Common Loon","Gaviiformes","Gaviidae","Gavia","immer","Gavia immer",4980
"00080","Yellow-billed Loon","Gaviiformes","Gaviidae","Gavia","adamsii","Gavia adamsii",5056.25
"00050","Least Grebe","Podicipediformes","Podicipedidae","Tachybaptus","dominicus","Tachybaptus dominicus",130.85
"00060","Pied-billed Grebe","Podicipediformes","Podicipedidae","Podilymbus","podiceps","Podilymbus podiceps",440
"00030","Horned Grebe","Podicipediformes","Podicipedidae","Podiceps","auritus","Podiceps auritus",449.5
"00020","Red-necked Grebe","Podicipediformes","Podicipedidae","Podiceps","grisegena","Podiceps grisegena",829.45
"00040","Eared Grebe","Podicipediformes","Podicipedidae","Podiceps","nigricollis","Podiceps nigricollis",294.5
"00010","Western Grebe","Podicipediformes","Podicipedidae","Aechmophorus","occidentalis","Aechmophorus occidentalis",1314
"00011","Clark's Grebe","Podicipediformes","Podicipedidae","Aechmophorus","clarkii","Aechmophorus clarkii",1237
"00012","unid. Western Grebe / Clark's Grebe","Podicipediformes","Podicipedidae","Aechmophorus","occidentalis / clarkii","Aechmophorus occidentalis",1314
"01820","American Flamingo","Phoenicopteriformes","Phoenicopteridae","Phoenicopterus","ruber","Phoenicopterus ruber",3052
"00830","Yellow-nosed Albatross","Procellariiformes","Diomedeidae","Thalassarche","chlororhynchos","Thalassarche chlororhynchos",2460
"00823","Shy Albatross","Procellariiformes","Diomedeidae","Thalassarche","cauta","Thalassarche cauta",4025
"00822","Black-browed Albatross","Procellariiformes","Diomedeidae","Thalassarche","melanophris","Thalassarche melanophris",3440
"00811","Wandering Albatross","Procellariiformes","Diomedeidae","Diomedea","exulans","Diomedea exulans",8190
"00821","Laysan Albatross","Procellariiformes","Diomedeidae","Phoebastria","immutabilis","Phoebastria immutabilis",3150
"00810","Black-footed Albatross","Procellariiformes","Diomedeidae","Phoebastria","nigripes","Phoebastria nigripes",3195
"00820","Short-tailed Albatross","Procellariiformes","Diomedeidae","Phoebastria","albatrus","Phoebastria albatrus",3172.5
"00860","Northern Fulmar","Procellariiformes","Procellariidae","Fulmarus","glacialis","Fulmarus glacialis",795
"50400","Great-winged Petrel","Procellariiformes","Procellariidae","Pterodroma","macroptera","Pterodroma macroptera",667.5
"00984","Kermadec Petrel","Procellariiformes","Procellariidae","Pterodroma","neglecta","Pterodroma neglecta",321.19375
"00986","Herald Petrel","Procellariiformes","Procellariidae","Pterodroma","arminjoniana","Pterodroma arminjoniana",161
"01001","Murphy's Petrel","Procellariiformes","Procellariidae","Pterodroma","ultima","Pterodroma ultima",360
"00990","Mottled Petrel","Procellariiformes","Procellariidae","Pterodroma","inexpectata","Pterodroma inexpectata",263.55
"00981","Bermuda Petrel","Procellariiformes","Procellariidae","Pterodroma","cahow","Pterodroma cahow",246
"00980","Black-capped Petrel","Procellariiformes","Procellariidae","Pterodroma","hasitata","Pterodroma hasitata",278
"09870","Juan Fernandez Petrel","Procellariiformes","Procellariidae","Pterodroma","externa","Pterodroma externa",321.19375
"00985","Galapagos Petrel","Procellariiformes","Procellariidae","Pterodroma","phaeopygia","Pterodroma phaeopygia",429.5
"00983","Cook's Petrel","Procellariiformes","Procellariidae","Pterodroma","cookii","Pterodroma cookii",164
"01003","Stejneger's Petrel","Procellariiformes","Procellariidae","Pterodroma","longirostris","Pterodroma longirostris",321.19375
"20060","Tahiti Petrel","Procellariiformes","Procellariidae","Pterodroma","rostrata","Pterodroma rostrata",321.19375
"01010","Bulwer's Petrel","Procellariiformes","Procellariidae","Bulweria","bulwerii","Bulweria bulwerii",103.5
"01008","Parkinson's Petrel","Procellariiformes","Procellariidae","Procellaria","parkinsoni","Procellaria parkinsoni",702.5
"00881","Streaked Shearwater","Procellariiformes","Procellariidae","Calonectris","leucomelas","Calonectris leucomelas",886.45
"00880","Cory's Shearwater","Procellariiformes","Procellariidae","Calonectris","diomedea","Calonectris diomedea",886.45
"00910","Pink-footed Shearwater","Procellariiformes","Procellariidae","Puffinus","creatopus","Puffinus creatopus",721
"00951","Flesh-footed Shearwater","Procellariiformes","Procellariidae","Puffinus","carneipes","Puffinus carneipes",568
"00890","Great Shearwater","Procellariiformes","Procellariidae","Puffinus","gravis","Puffinus gravis",849
"00961","Wedge-tailed Shearwater","Procellariiformes","Procellariidae","Puffinus","pacificus","Puffinus pacificus",465.8
"00962","Buller's Shearwater","Procellariiformes","Procellariidae","Puffinus","bulleri","Puffinus bulleri",325.75
"00950","Sooty Shearwater","Procellariiformes","Procellariidae","Puffinus","griseus","Puffinus griseus",787
"00960","Short-tailed Shearwater","Procellariiformes","Procellariidae","Puffinus","tenuirostris","Puffinus tenuirostris",544
"00963","Christmas Shearwater","Procellariiformes","Procellariidae","Puffinus","nativitatis","Puffinus nativitatis",356
"00900","Manx Shearwater","Procellariiformes","Procellariidae","Puffinus","puffinus","Puffinus puffinus",521.5
"00931","Townsend's Shearwater","Procellariiformes","Procellariidae","Puffinus","auricularis","Puffinus auricularis",323
"00930","Black-vented Shearwater","Procellariiformes","Procellariidae","Puffinus","opisthomelas","Puffinus opisthomelas",276
"00920","Audubon's Shearwater","Procellariiformes","Procellariidae","Puffinus","lherminieri","Puffinus lherminieri",168
"00921","Little Shearwater","Procellariiformes","Procellariidae","Puffinus","assimilis","Puffinus assimilis",226
"01090","Wilson's Storm-Petrel","Procellariiformes","Hydrobatidae","Oceanites","oceanicus","Oceanites oceanicus",34.9
"01110","White-faced Storm-Petrel","Procellariiformes","Hydrobatidae","Pelagodroma","marina","Pelagodroma marina",40.8
"01040","European Storm-Petrel","Procellariiformes","Hydrobatidae","Hydrobates","pelagicus","Hydrobates pelagicus",25
"01050","Fork-tailed Storm-Petrel","Procellariiformes","Hydrobatidae","Oceanodroma","furcata","Oceanodroma furcata",54
"01060","Leach's Storm-Petrel","Procellariiformes","Hydrobatidae","Oceanodroma","leucorhoa","Oceanodroma leucorhoa",45.35
"01080","Ashy Storm-Petrel","Procellariiformes","Hydrobatidae","Oceanodroma","homochroa","Oceanodroma homochroa",38.1
"01062","Band-rumped Storm-Petrel","Procellariiformes","Hydrobatidae","Oceanodroma","castro","Oceanodroma castro",45.3
"01063","Wedge-rumped Storm-Petrel","Procellariiformes","Hydrobatidae","Oceanodroma","tethys","Oceanodroma tethys",24
"01070","Black Storm-Petrel","Procellariiformes","Hydrobatidae","Oceanodroma","melania","Oceanodroma melania",61.5
"10090","Markham's Storm-Petrel","Procellariiformes","Hydrobatidae","Oceanodroma","markhami","Oceanodroma markhami",41.3214285714286
"01030","Least Storm-Petrel","Procellariiformes","Hydrobatidae","Oceanodroma","microsoma","Oceanodroma microsoma",21
"01120","White-tailed Tropicbird","Phaethontiformes","Phaethontidae","Phaethon","lepturus","Phaethon lepturus",367.3
"01130","Red-billed Tropicbird","Phaethontiformes","Phaethontidae","Phaethon","aethereus","Phaethon aethereus",750
"01131","Red-tailed Tropicbird","Phaethontiformes","Phaethontidae","Phaethon","rubricauda","Phaethon rubricauda",219.45
"01890","Jabiru","Ciconiiformes","Ciconiidae","Jabiru","mycteria","Jabiru mycteria",6892
"01880","Wood Stork","Ciconiiformes","Ciconiidae","Mycteria","americana","Mycteria americana",2377.5
"01280","Magnificent Frigatebird","Suliformes","Fregatidae","Fregata","magnificens","Fregata magnificens",1474
"01281","Great Frigatebird","Suliformes","Fregatidae","Fregata","minor","Fregata minor",1434.5
"01282","Lesser Frigatebird","Suliformes","Fregatidae","Fregata","ariel","Fregata ariel",806
"01140","Masked Booby","Suliformes","Sulidae","Sula","dactylatra","Sula dactylatra",2266.65
"01142","Nazca Booby","Suliformes","Sulidae","Sula","granti","Sula granti",1518.1875
"01141","Blue-footed Booby","Suliformes","Sulidae","Sula","nebouxii","Sula nebouxii",1542
"01150","Brown Booby","Suliformes","Sulidae","Sula","leucogaster","Sula leucogaster",1266.1
"01160","Red-footed Booby","Suliformes","Sulidae","Sula","sula","Sula sula",998
"01170","Northern Gannet","Suliformes","Sulidae","Morus","bassanus","Morus bassanus",2999.5
"01220","Brandt's Cormorant","Suliformes","Phalacrocoracidae","Phalacrocorax","penicillatus","Phalacrocorax penicillatus",2250
"01210","Neotropic Cormorant","Suliformes","Phalacrocoracidae","Phalacrocorax","brasilianus","Phalacrocorax brasilianus",1165
"01200","Double-crested Cormorant","Suliformes","Phalacrocoracidae","Phalacrocorax","auritus","Phalacrocorax auritus",2254.5
"01190","Great Cormorant","Suliformes","Phalacrocoracidae","Phalacrocorax","carbo","Phalacrocorax carbo",2200
"01240","Red-faced Cormorant","Suliformes","Phalacrocoracidae","Phalacrocorax","urile","Phalacrocorax urile",2151.25
"01230","Pelagic Cormorant","Suliformes","Phalacrocoracidae","Phalacrocorax","pelagicus","Phalacrocorax pelagicus",1868
"01180","Anhinga","Suliformes","Anhingidae","Anhinga","anhinga","Anhinga anhinga",1337.5
"01250","American White Pelican","Pelecaniformes","Pelecanidae","Pelecanus","erythrorhynchos","Pelecanus erythrorhynchos",5945
"01260","Brown Pelican","Pelecaniformes","Pelecanidae","Pelecanus","occidentalis","Pelecanus occidentalis",3057
"01014","Pinnated Bittern","Pelecaniformes","Ardeidae","Botaurus","pinnatus","Botaurus pinnatus",584
"01900","American Bittern","Pelecaniformes","Ardeidae","Botaurus","lentiginosus","Botaurus lentiginosus",372
"20270","Yellow Bittern","Pelecaniformes","Ardeidae","Ixobrychus","sinensis","Ixobrychus sinensis",104
"01910","Least Bittern","Pelecaniformes","Ardeidae","Ixobrychus","exilis","Ixobrychus exilis",80.45
"10130","Bare-throated Tiger-Heron","Pelecaniformes","Ardeidae","Tigrisoma","mexicanum","Tigrisoma mexicanum",1274
"01940","Great Blue Heron","Pelecaniformes","Ardeidae","Ardea","herodias","Ardea herodias",2295
"01920","Great White Heron","Pelecaniformes","Ardeidae","Ardea","herodias occidentalis","Ardea herodias",2295
"01950","Gray Heron","Pelecaniformes","Ardeidae","Ardea","cinerea","Ardea cinerea",1433
"01960","Great Egret","Pelecaniformes","Ardeidae","Ardea","alba","Ardea alba",995
"20340","Intermediate Egret","Pelecaniformes","Ardeidae","Mesophoyx","intermedia","Mesophoyx intermedia",500
"01962","Chinese Egret","Pelecaniformes","Ardeidae","Egretta","eulophotes","Egretta eulophotes",500
"01961","Little Egret","Pelecaniformes","Ardeidae","Egretta","garzetta","Egretta garzetta",532.5
"01971","Western Reef-Heron","Pelecaniformes","Ardeidae","Egretta","gularis","Egretta gularis",400
"01970","Snowy Egret","Pelecaniformes","Ardeidae","Egretta","thula","Egretta thula",369
"02000","Little Blue Heron","Pelecaniformes","Ardeidae","Egretta","caerulea","Egretta caerulea",339.5
"01990","Tricolored Heron","Pelecaniformes","Ardeidae","Egretta","tricolor","Egretta tricolor",262.5
